Tev,COP,CR,Tco-Tev
-100,11.063268726387877,2.340917782026769,15
-95,11.371071603037638,2.2270797962648556,15
-85,11.947416937196914,2.0414114187699095,15
-10,14.343304039345263,1.446255648805681,15
0,13.803025875053338,1.4142958897222107,15
5,13.262445683683417,1.4006993267120484,15
10,12.347011779134814,1.3888041893145964,15
15,10.601465844172948,1.379084580062213,15
-175,4.702219994918964,26.999999999999996,20
-170,4.939644013243784,26.999999999999996,20
-165,5.1768466742267245,20.6,20
-160,5.413129247485073,14.23076923076923,20
-155,5.6490541706239625,11.703703703703704,20
-150,5.883917567141508,9.61111111111111,20
-145,6.117668605800051,7.970873786407767,20
-140,6.3521135133562625,6.783783783783783,20
-135,6.585297939483937,5.8955696202531644,20
-130,6.817929364457848,5.184971098265897,20
-125,7.04819137132799,4.619975639464068,20
-120,7.277619442193341,4.1673306772908365,20
-115,7.50343765643712,3.7938808373590978,20
-110,7.729576403145976,3.4856930509104416,20
-105,7.952767034133763,3.2277880305826523,20
-100,8.172491459485103,3.009751434034417,20
-90,8.600106352103372,2.6644989339019194,20
-80,9.012264887800567,2.406263896829935,20
-78,9.090733611435795,2.362325527742531,20
-76,9.170526499340655,2.3208081868276045,20
-74,9.245502352615539,2.2813053256136655,20
-72,9.325719276289428,2.2436508283428775,20
-70,9.400165127836834,2.2079382227023565,20
-68,9.47032175630154,2.1738029719317553,20
-66,9.540465906677072,2.1413307267089117,20
-64,9.60747269187613,2.11036664805509,20
-62,9.681964671409013,2.0808075031453734,20
-60,9.742257959899092,2.052538479816247,20
-58,9.80863832517646,2.025562771619708,20
-56,9.8710185545077,1.9997060353209866,20
-54,9.936970856821892,1.9750194013885103,20
-52,9.987772768926455,1.951371571072319,20
-50,10.044833418346798,1.9286736857365492,20
-48,10.100039579096784,1.9069319965567877,20
-46,10.152002508860082,1.8860677800689452,20
-44,10.198082093615737,1.8661257606490875,20
-42,10.248167304833046,1.846914937474234,20
-40,10.288164335103074,1.8284369211771971,20
-36,10.363077778214148,1.7937873870613912,20
-34,10.380161838922382,1.77744974140586,20
-32,10.409550447677262,1.7616813099041533,20
-30,10.429475170718213,1.746500046979235,20
-28,10.436625414543348,1.731987962471234,20
-26,10.453163839200322,1.7179936571523953,20
-24,10.45603502692831,1.704473850031506,20
-22,10.44738866569786,1.691517857142857,20
-20,10.429223553498833,1.6790010552233554,20
-10,10.219604012935527,1.6231977619969873,20
0,9.592411607595281,1.5777014287509952,20
5,8.96160486722029,1.5587174050515196,20
10,7.740033441872747,1.5428543020018561,20
-175,3.714933321349527,53.99999999999999,25
-170,3.9020274802424266,51.5,25
-165,4.088635506289055,37.0,25
-160,4.274354539860008,24.307692307692307,25
-155,4.460151087508147,19.22222222222222,25
-150,4.6446786996121965,15.203703703703704,25
-145,4.8288853086197445,12.184466019417474,25
-140,5.012150482033841,10.07027027027027,25
-135,5.195428657154645,8.515822784810128,25
-130,5.376627631927393,7.3082851637764925,25
-125,5.55794946336675,6.370280146163215,25
-120,5.734732730787717,5.631872509960159,25
-115,5.91335367236561,5.034889962426194,25
-110,6.087407557925013,4.549609810479375,25
-105,6.261992681675183,4.1500131821776955,25
-95,6.598456720956015,3.536078098471987,25
-85,6.921044290544924,3.093767867352773,25
-20,7.971178554852394,1.8911712979247273,25
-10,7.677276138069024,1.8159565310953305,25
0,6.915392256999322,1.7556877697238866,25
5,6.005475778063386,1.7316147751367035,25
-175,3.05509583989461,103.0,30
-170,3.2084211264967135,92.5,30
-165,3.3611705706478854,63.199999999999996,30
-160,3.5134653737514254,39.92307692307692,30
-155,3.6654001846459776,30.40740740740741,30
-150,3.81665770755915,23.24074074074074,30
-145,3.966782263124183,18.0873786407767,30
-140,4.116683810198742,14.545945945945947,30
-135,4.265481490032537,12.003164556962025,30
-130,4.413811216724465,10.077071290944122,30
-125,4.5596063865326935,8.609013398294762,30
-120,4.704801718464083,7.47410358565737,30
-115,4.848182026167771,6.571658615136876,30
-110,4.989823238609291,5.849498327759196,30
-100,5.264053721781129,4.778776290630976,30
-90,5.528409884126766,4.0380597014925375,30
-80,5.773819220882575,3.505685788704657,30
-78,5.820592652283799,3.417176144884069,30
-76,5.8663156625178505,3.3339805825242714,30
-74,5.909638299031144,3.2553710703861425,30
-72,5.954596203944931,3.180924072212266,30
-70,5.9968712248014056,3.110630976673468,30
-68,6.036729152275923,3.0439552375710877,30
-66,6.076671314586732,2.98075367399218,30
-64,6.116248587125739,2.9208697810037845,30
-62,6.153861545618718,2.864005490106371,30
-60,6.18702890804081,2.8098846265543735,30
-58,6.222107393532274,2.758435470481957,30
-56,6.253621729501667,2.7094498337968926,30
-54,6.282717855096602,2.662919227300376,30
-52,6.312128855291124,2.618453865336658,30
-50,6.337267799366166,2.5759744848957102,30
-46,6.384597968389989,2.4969698877677917,30
-44,6.401360320503268,2.4600934826704295,30
-42,6.415587992288632,2.4247629517658376,30
-40,6.4288101637723365,2.3909240584482405,30
-38,6.435834020335247,2.358641804177766,30
-36,6.443645555981467,2.3277509526986533,30
-34,6.4407429729877865,2.2981425825430373,30
-32,6.442500064399231,2.2697683706070286,30
-30,6.4310676218766405,2.2425068119891005,30
-20,6.29876153198994,2.122546605698206,30
-10,5.92029052737612,2.0257693135356143,30
0,4.831640833778729,1.950433653161269,30
-175,2.582330765883132,185.0,35
-170,2.711400045932982,158.0,35
-165,2.8401429825517686,103.8,35
-160,2.9682223537631476,63.153846153846146,35
-155,3.096157513653684,46.48148148148148,35
-150,3.2229669251259048,34.5,35
-145,3.349154099364619,26.12621359223301,35
-140,3.4744097418644118,20.502702702702702,35
-135,3.599470307883539,16.550632911392405,35
-130,3.7223628015617636,13.618497109826588,35
-125,3.845067335974496,11.425091352009742,35
-120,3.965171636181406,9.755378486055776,35
-115,4.084870765905088,8.44927536231884,35
-105,4.316047964912068,6.589243343000264,35
-95,4.53822043765246,5.358941709111489,35
-85,4.744163477868177,4.50731029976313,35
-30,5.256276250023753,2.525885558583106,35
-20,5.061555796678062,2.374604291241646,35
-10,4.56780879219416,2.2543038519474927,35
-175,2.2264704346620534,316.0,40
-170,2.3374579780015767,259.5,40
-165,2.4479349189018373,164.2,40
-160,2.5579573607735604,96.53846153846153,40
