Tev,COP,CR,Tco-Tev
-42,8.988909786626854,2.763987473903967,24
-40,9.059372505679393,2.712439418416802,24
-38,9.12064421799243,2.6631998613277865,24
-36,9.18656578538245,2.6162496040544823,24
-34,9.253724522438532,2.5715010509531053,24
-32,9.323318728701567,2.5285049833887046,24
-30,9.389062081223297,2.4875831350295927,24
-28,9.453035222986697,2.4483977776530668,24
-26,9.509061655980801,2.4108767576509513,24
-24,9.570048403848753,2.375,24
-22,9.630402384500746,2.3405005287275293,24
-20,9.687638502759997,2.3074884839590726,24
-18,9.743121046101397,2.27572793534499,24
-16,9.801058398318181,2.2453140875170794,24
-14,9.8600057783731,2.216057016401979,24
-12,9.917139583832858,2.1879653732066107,24
-10,9.976154557399354,2.1609402745285946,24
-8,10.020166372573737,2.1349661008041205,24
-6,10.070982696230718,2.109936471338517,24
-4,10.129003859958024,2.0858622902723023,24
-2,10.170500057214781,2.0626769019641475,24
0,10.218880631676738,2.040201610474106,24
2,10.273964524955124,2.0188253012048194,24
4,10.299019197916508,1.997880045932338,24
6,10.348655912347656,1.9779617982376076,24
8,10.38505340269013,1.9585569841467982,24
10,10.421183512549305,1.939936852926059,24
12,10.462407566092221,1.92181058572891,24
14,10.47570036344919,1.9044451400845201,24
16,10.51440974946387,1.8876470877849443,24
18,10.543969181721545,1.871425249941874,24
20,10.556997001044616,1.8556735016812818,24
22,10.573251023173725,1.840428296689017,24
24,10.586092807295579,1.8258858267716536,24
26,10.593800748429041,1.811544199925401,24
28,10.621135873472303,1.7979485365637988,24
30,10.608471014069677,1.784545683362698,24
32,10.606173022703658,1.7717495219885275,24
34,10.604264955652004,1.7592732778198334,24
36,10.58370356729053,1.747408580477973,24
46,10.373103731037311,1.6930637144148215,24
56,9.895617022454791,1.6474661630468996,24
-70,7.330291773006311,4.25256472887152,26
-60,7.655637358607675,3.6792000000000002,26
-50,7.991086486097278,3.2493413916008063,26
-48,8.045963772622928,3.176487053883835,26
-46,8.11849541999611,3.1075500380035472,26
-44,8.174421360297009,3.041815048822516,26
-42,8.245488117339017,2.9794363256784973,26
-40,8.305823427056742,2.9200798251449207,26
-38,8.360246502661129,2.8634078696481193,26
-36,8.42229733964544,2.8095502058916693,26
-34,8.489281852299449,2.758135826628977,26
-32,8.54526695898891,2.70890365448505,26
-30,8.604025616768578,2.662029409970102,26
-28,8.662548802002025,2.6172063527695157,26
-26,8.713203996594824,2.5743899917287014,26
-24,8.76530032928353,2.5333842045020982,26
-22,8.823908876437622,2.49405181529785,26
-20,8.872293523137007,2.456442868207574,26
-18,8.92759006234724,2.420333094150081,26
-16,8.976545125295992,2.385698770276425,26
-14,9.026647829687734,2.352447279354335,26
-12,9.083446655952491,2.320600520612628,26
-10,9.133093543224925,2.2899179796499336,26
-8,9.170208007157244,2.2604719608976716,26
-6,9.221647729031842,2.2321371630405458,26
-4,9.261235808088736,2.204891354176217,26
-2,9.304869049072744,2.1785744918089027,26
0,9.350327396189812,2.1534568967248338,26
2,9.38036079151231,2.128953313253012,26
4,9.421186022393895,2.1056443777051497,26
6,9.461087960355876,2.0830083473008183,26
8,9.490510631977049,2.0612283110722753,26
10,9.523864770169634,2.0400910492694027,26
12,9.54507740921846,2.019893202003154,26
14,9.576185067846232,2.000313038034121,26
